Title,Artists,Album,Album Release Date
Mas Que Nada,"['Sérgio Mendes', 'Black Eyed Peas']",Timeless,2006-01-01
The Time (Dirty Bit),['Black Eyed Peas'],The Beginning (Deluxe),2010-01-01
The Sweet Escape,"['Gwen Stefani', 'Akon']",The Sweet Escape,2006-01-01
Gettin' Jiggy Wit It,['Will Smith'],Big Willie Style,1997-10-03
Miami,['Will Smith'],Big Willie Style,1997-10-03
Summertime,['DJ Jazzy Jeff & The Fresh Prince'],Greatest Hits,2002-11-26
Está Rico,"['Marc Anthony', 'Will Smith', 'Bad Bunny']",Está Rico,2018-09-28
QUE PRETENDES,"['J Balvin', 'Bad Bunny']",OASIS,2019-06-28
C'mon N' Ride It (The Train),"[""Quad City DJ's""]",Get On Up And Dance,1996-06-18
Wannabe,['Spice Girls'],Spice,1996-01-01
Adios papa,['S.J.K.'],Santa Justa Klan,2005-03-07
¡Que Bonito!,['Rosario'],Mucho Por Vivir,1996-10-18
Tu Boca,['Rosario'],Rosario,2013-01-01
Ola K Ase,['Lory Money'],Ola K Ase,2013-01-01
Domingo,"['Ceky Viciny', 'Bulin 47']",Domingo,2019-09-20
Ya No Quiero Ná,['Lola Indigo'],Ya No Quiero Ná,2018-07-19
Maletero Tubo Escape - Urban Mix,['Chumino'],Maletero Tubo Escape (Urban Mix),2020-02-01
Indeciso,['Dante Pérez'],Indeciso,2019
Tusa,"['KAROL G', 'Nicki Minaj']",Tusa,2019-11-07
Hola Señorita,"['GIMS', 'Maluma']",Hola Señorita,2019-04-26
Salió El Sol,['Don Omar'],King Of Kings,2006-01-01
Tell Me Why - Radio Edit,['Amna'],Tell Me Why (Radio Edit),2011-03-13
Arriba Arriba,['Dik Lewis'],Arriba arriba,2012-07-27
Baile de Favela,['Mc João'],Baile de Favela,2015-12-10
Sound,"['Diamond Platnumz', 'Teni']",Sound,2019-11-27
Girls Like You (feat. Cardi B) - Cardi B Version,"['Maroon 5', 'Cardi B']",Girls Like You (feat. Cardi B),2018-05-30
Bailando por Ahi,['Juan Magán'],The King Of Dance,2012-05-14
MALA SANTA,['Becky G'],MALA SANTA,2019-10-18
No Me Acuerdo,"['Thalia', 'NATTI NATASHA']",Valiente,2018-11-09
Soy Yo,['Marta Sánchez'],Soy Yo,2002-01-01
Rumore,['Raffaella Carrà'],Raffaella Carrà,2017-11-10
Para Hacer Bien el Amor,['Charytin'],Calor,1979-05-10
Adiós papá,['Los Ronaldos'],Saca La Lengua,1988
Una Noche en Ibiza,['Analog People'],Back Streets of Ibiza,2020-01-31
Me Niego (feat. Ozuna & Wisin),"['Reik', 'Ozuna', 'Wisin']",Ahora,2019-05-31
Sin Pijama,"['Becky G', 'NATTI NATASHA']",MALA SANTA,2019-10-18
Criminal,"['NATTI NATASHA', 'Ozuna']",Criminal,2017-09-01
Que Perra Mi Amiga,['La Montra'],Que Perra Mi Amiga,2016-04-08
Ella Quiere Hmm... Haa... Hmm... - Yayo Remix,"['Leka el Poeta', 'Mishelle Master Boys', 'DJ Yayo']",Ella Quiere Hmm... Haa... Hmm...,2016-11-25
Mueve el Toto,"['Lore y Roque Me Gusta', 'Juan Quin y Dago']",Mueve el Toto,2016-01-01
Una Vaina Loca,['Fuego'],Una Vaina Loca,2011-11-02
Pasado pisado,"['Comando Tiburon', 'Mach and Daddy']",Ya tu sabes quienes son,2017-04-19
La Botella,['Mach & Daddy'],Desde Abajo,2005-01-01
La Vecinita,['Vico C'],La Vecinita,2018-01-02
Te Pintaron Pajaritos en el Aire,['Óscar Llecas'],"Música Bailable Latina: Música para Bailar en Fiestas, Músicas Animadas, Canciones Movidas para Fin de Año y Bodas",2013-11-20
Llamado de Emergencia,"['Randy', 'Sam']",Lo Mejor del Reggaetón Romántico,1980-01-01
Sufre Mamón,['Alfredo Pardo- Spanish Pop'],Spanish Oldies Pop,2004
Voy a pasármelo bien,['Hombres G'],Voy A Pasarmelo Bien,1989
Fiera Inquieta,['Cumbia Latin Band'],Cumbia Tropical,2008-09-01
Fiera Inquieta,['Azafrán'],Chiringuito Mix 4 Vol. 2,2015-03-18
Y Yo Sigo Aqui - Spanglish,['Paulina Rubio'],Paulina,2000-01-01
A quién le importa,['Alaska Y Dinarama'],No Es Pecado -Remasters,1986
El Baile del Gorila,['Melody'],Gorila Dance Remixes,2001
Lloraré Las Penas,['David Bisbal'],Corazon Latino,2002-01-01
Te Quiero Más,['Fórmula Abierta'],Aún Hay Más,2014-07-22
Dos Hombres Y Un Destino,"['Bustamante', 'Alex Casademunt']",Bustamante,2002-01-01
"Ven, Ven, Ven",['Sex Bomb'],Ven,2003
Dime,['Beth'],Otra Realidad,2003-01-01
Devuélveme a mi chica,['Hombres G'],Hombres G (Edición 30 Aniversario),1985
Salta!!!,['Tequila'],Confidencial/New Booklet,1981-01-04
Sabor de amor,['Danza Invisible'],1984-1989,1989-01-01
Aquí No Hay Playa,['The Refrescos'],The Refrescos,1989-01-01
No Rompas Mi Corazón,['Trip Band'],Las Bombas 2001,2015-08-14
Oye El Boom,['David Bisbal'],Bulería,2004-01-01
Maquillaje,['Mecano'],Mecano,1982
Devuelveme La Vida,['Bustamante'],Caricias Al Alma,2005-01-01
Carolina - En directo 2000,['M-Clan'],Sin Enchufe,2001
La Bomba,['King Africa'],Obsesión Latina,2004
Amante Bandido,['Miguel Bosé'],"Miguel Bosé. ""Morir De Amor""",1977
Chica de ayer,['Nacha Pop'],Grandes Éxitos: Nacha Pop,2005-03-21
Ni tú ni nadie - Re-Mix,['Alaska Y Dinarama'],Lucha Rock,2004-06-15
Hoy No Me Puedo Levantar,['Mecano'],Mecano,1982
Eres un enfermo,['Las Supremas De Mostoles'],A Go Go,2005-04-11
Suavemente,['Elvis Crespo'],Suavemente,1998-02-27
Vive la Vida - Remix,['Gusanito'],Gusanito- Grandes Exitos,2006-08-12
El Vals del Obrero,['Ska-P'],El Vals Del Obrero,1996-03-01
Cannabis,['Ska-P'],El Vals Del Obrero,1996-03-01
Mari Carmen,['La Pegatina'],Xapomelön,2011-07-10
I Am the Main Bitch,['Casbah 73'],Main Bitch,2012-01-01
Felicidad,['La Cabra Mecanica'],Vestidos De Domingo (+ Remixes),2001-06-15
Me Gusta (with Cardi B & Myke Towers),"['Anitta', 'Myke Towers', 'Cardi B']",Me Gusta (with Cardi B & Myke Towers),2020-09-18
Relación - Remix,"['Sech', 'Daddy Yankee', 'J Balvin', 'ROSALÍA', 'Farruko']",Relación (Remix),2020-09-04
La Jeepeta - Remix,"['Nio Garcia', 'Anuel AA', 'Myke Towers', 'Brray', 'Juanka']",La Jeepeta (Remix),2020-04-24
Pa Ti,"['Jennifer Lopez', 'Maluma']",Pa Ti + Lonely,2020-09-24
Chica Ideal,"['Sebastian Yatra', 'Guaynaa']",Chica Ideal,2020-10-16
4 besos,"['Lola Indigo', 'Rauw Alejandro', 'Lalo Ebratt']",4 besos,2020-03-27
La Tóxica,['Farruko'],La Tóxica,2020-07-24
Te Lo Digo Todo Y No Te Digo Na,['Rosario'],Te Lo Digo Todo Y No Te Digo Na,2020-12-17
Savage Love (Laxed - Siren Beat),"['Jawsh 685', 'Jason Derulo']",Savage Love (Laxed - Siren Beat),2020-06-11
Kings & Queens,['Ava Max'],Heaven & Hell,2020-09-18
La Tirita,"['Belén Aguilera', 'Lola Indigo']",La Tirita,2020-11-27
Ignorantes,"['Bad Bunny', 'Sech']",YHLQMDLG,2020-02-29
Si Me Tomo Una Cerveza,"['Migrantes', 'Alico']",Si Me Tomo una Cerveza,2020-11-07
Rasputin,"['Majestic', 'Boney M.']",Rasputin,2021-02-26
Pareja Del Año,"['Sebastian Yatra', 'Myke Towers']",Pareja Del Año,2021-04-16
Todo De Ti,['Rauw Alejandro'],Todo De Ti,2021-05-20
Flamenco y Bachata,['Daviles de Novelda'],Flamenco y Bachata,2021-02-14
La Mentira (feat. Joaquín Sabina),"['Dani Martín', 'Joaquín Sabina']",La Mentira (feat. Joaquín Sabina),2019-11-21
SexyBack,"['DMNDS', 'MELON', 'Dance Fruits Music']",SexyBack,2020-07-10
Color Esperanza,['Diego Torres'],Un Mundo Diferente,2001-10-31
Todo De Ti,['Rauw Alejandro'],Todo De Ti,2021-05-20
Todo De Ti,['Rauw Alejandro'],VICE VERSA,2021-06-25
Vacuum White Noise Hallway,['White Noise Vacuum'],Vacuum Cleaner White Noise,2018-11-01
Vacuum Noise,['White Noise Relaxation'],50 Continuous White Noise,2021-05-29
Bongo Cha Cha Cha,['Goodboys'],Bongo Cha Cha Cha,2021-05-21
Linda,"['Tokischa', 'ROSALÍA']",Linda,2021-09-01
Calores,['Juanito Makandé'],Las canciones que escribí mientras volaba,2014-11-15
Cómo Te Quiero,['Rosario'],Raskatriski,2011-01-01
Historia de un Amor (con Pablo Alborán),"['Najwa', 'Pablo Alborán']",AMA,2021-06-04
Don't Be Shy,"['Tiësto', 'KAROL G']",Don't Be Shy,2021-08-12
CONTIGO VOY A MUERTE,"['KAROL G', 'Camilo']",KG0516,2021-03-26
Who Do You Think You Are,['Spice Girls'],Spice,1996-01-01
Toy,['Netta'],Toy,2018-05-23
Te Lo Digo Todo Y No Te Digo Na,['Rosario'],Te Lo Digo Todo Y No Te Digo Na,2021-04-22
Mi Reina,['Henry Mendez'],Mi Reina,2013-01-15
Aquí Me Tienes,"['El Arrebato', 'Antonio José']",Abrazos,2019-09-19
La Despedida,['Daddy Yankee'],Mundial (Deluxe Version),2010-04-27
Baila Así (feat. Chiquis),"['Play-N-Skillz', 'Thalia', 'Becky G', 'Chiquis']",Baila Así (feat. Chiquis),2021-09-16
Cambia el Paso,"['Jennifer Lopez', 'Rauw Alejandro']",Cambia el Paso,2021-07-05
Señorita - Remix,['DJ Concito'],Señorita (Remix),2021-03-29
Let's Go (feat. Ne-Yo),"['Calvin Harris', 'Ne-Yo']",18 Months,2012-10-29
Cambia el Paso,"['Jennifer Lopez', 'Rauw Alejandro']",Cambia el Paso,2021-07-05
Dance Again (feat. Pitbull),"['Jennifer Lopez', 'Pitbull']",Dance Again...The Hits,2012-07-20
Dirás Que Estoy Loco,['Miguel Angel Muñoz'],M.A.M.,2007-01-01
Quiero besarte,['Roser'],Desperte,2003-03-03
Tacones Rojos,['Sebastian Yatra'],Tacones Rojos,2021-10-22
Little Swing,"['AronChupa', 'Little Sis Nora']",Little Swing,2016-02-26
Messy Floor Vacuum Cleaner - Non Stationary,"['Vacuum Cleaner White Noise', 'Sleep Sound Library', 'Sleepy Sounds', 'Messy Floor', 'White Noise Makers']","Vacuums for Rest and Relaxation (Loopable Audio for Insomnia, Meditation, and Restless Children)",2016-04-14
Ay Mamá,['Rigoberta Bandini'],Ay Mamá,2021-12-23
Astronomia,"['Vicetone', 'Tony Igy']",Astronomia,2016-09-16
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"['Riton', 'Nightcrawlers', 'Mufasa & Hypeman', 'Dopamine']",Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],2021-01-15
BOOM,"['Tiësto', 'Sevenn', 'Gucci Mane']",BOOM,2018-01-26
Una Noche en Medellín,['Cris Mj'],Una Noche en Medellín,2022-01-21
Morenita,"['HUGEL', 'Cumbiafrica']",Morenita,2021-06-25
Índigo,"['Camilo', 'Evaluna Montaner']",Índigo,2021-10-13
In Da Getto,"['J Balvin', 'Skrillex']",In Da Getto,2021-07-02
No Te Vistas Que No Vas,['K-Narias'],40 Entre las 2,2005-09-27
Cuando Tú Vas,['Chenoa'],Básicos,2020-11-20
Llámame,['Andrei Ursu'],Llámame,2022-02-10
Contando Lunares (feat. Anitta & Rauw Alejandro) - Remix,"['Don Patricio', 'Anitta', 'Rauw Alejandro']",Contando Lunares (feat. Anitta & Rauw Alejandro) [Remix],2020-02-06
La Noche de San Juan,['Sergio Dalma'],Alegría,2021-11-19
Yo Brindo,['Soraya'],Luces y Sombras,2020-04-24
Himno del Hércules C.F. de Alicante,"['Alfredo', 'Sus Amigos']",Himno del Hércules C.F. de Alicante,1974-01-01
Resilient (ft. Aitana) [Tiësto Remix],"['Katy Perry', 'Tiësto', 'Aitana']",Resilient (ft. Aitana) [Tiësto Remix],2020-11-13
Pepas,['Farruko'],Pepas,2021-06-24
Mi Gran Noche,['Raphael'],Resinphónico,2018-11-08
Hotel California - 2013 Remaster,['Eagles'],Hotel California (2013 Remaster),1976-12-08
Total Eclipse of the Heart,['Bonnie Tyler'],The Very Best of Bonnie Tyler,2009-03-26
It's a Heartache,['Bonnie Tyler'],Natural Force (Expanded Edition),1978-01-01
Total Eclipse of the Heart,['Bonnie Tyler'],Faster Than the Speed of Night,1983-04-11
Sem Limites Pra Sonhar (Reaching For The Infinite Heart) (feat. Bonnie Tyler),"['Fábio Jr.', 'Bonnie Tyler']",Sem Limites Pra Sonhar,1986-03-30
Holding Out for a Hero - Single Version,['Bonnie Tyler'],The Very Best of Bonnie Tyler,2009-03-26
If I Sing You a Love Song,['Bonnie Tyler'],Natural Force (Expanded Edition),1978-01-01
Lost in France,['Bonnie Tyler'],The World Starts Tonight (Expanded Version),1977-01-01
If You Were a Woman (And I Was a Man),['Bonnie Tyler'],Secret Dreams and Forbidden Fire,1986-05-05
Islands,"['Mike Oldfield', 'Bonnie Tyler']",Two Sides: The Very Best Of Mike Oldfield,2012-01-01
Have You Ever Seen the Rain?,['Bonnie Tyler'],Faster Than the Speed of Night,1983-04-11
Bitterblue,['Bonnie Tyler'],Bitterblue,1991
Si demain... (Turn round),"['Bonnie Tyler', 'Kareen Antonn']",Simply Believe,2004-04-13
The Best,['Bonnie Tyler'],The Very Best of Bonnie Tyler,2009-03-26
Straight from the Heart,['Bonnie Tyler'],Faster Than the Speed of Night,1983-04-11
Fools Lullaby,['Bonnie Tyler'],Angel Heart,1992-10-05
Against The Wind,['Bonnie Tyler'],Bitterblue,1991
Die wilden Tränen (Salty Rain),"['Matthias Reim', 'Bonnie Tyler']",Sieben Leben,2010-01-01
Don't Turn Around,['Bonnie Tyler'],The Very Best of Bonnie Tyler,2009-03-26
Angel Heart,['Bonnie Tyler'],Angel Heart,1992-10-05
Faster Than the Speed of Night,['Bonnie Tyler'],Faster Than the Speed of Night,1983-04-11
The Rose,['Bonnie Tyler'],Playlist: The Best Of The EastWest Years,2016-05-06
To Love Somebody,['Bonnie Tyler'],The Very Best of Bonnie Tyler,2009-03-26
Vergiss es,"['Matthias Reim', 'Bonnie Tyler']",Déjà Vu - Das Beste Von Matthias Reim,2004-01-01
Loving You's a Dirty Job (But Somebody's Gotta Do It) (with Todd Rundgren) - Extended Version - Edit,"['Bonnie Tyler', 'Todd Rundgren']",Secret Dreams and Forbidden Fire,1986-05-05
Making Love (Out of Nothing at All),['Bonnie Tyler'],Playlist: The Best Of The EastWest Years,2016-05-06
Here She Comes - Single Version,['Bonnie Tyler'],The Very Best of Bonnie Tyler,2009-03-26
God Gave Love to You - Extended Version,['Bonnie Tyler'],Angel Heart,1992-10-05
I Climb Every Mountain,['Bonnie Tyler'],Silhouette In Red,1993-10-11
The Best Is yet to Come,['Bonnie Tyler'],The Best Is yet to Come,2021-02-26
Limelight,['Bonnie Tyler'],Playlist: The Best Of The EastWest Years,2016-05-06
Goodbye to the Island,['Bonnie Tyler'],Goodbye to the Island (Expanded Edition),1981-01-01
James Dean,['Bonnie Tyler'],Silhouette In Red,1993-10-11
Amazed,['Bonnie Tyler'],Heart Strings,2002-01-01
Louise - Original Version,['Bonnie Tyler'],Wings,2005
Angel of the Morning,['Bonnie Tyler'],Playlist: The Best Of The EastWest Years,2016-05-06
Taking Control,"['Cliff Richard', 'Bonnie Tyler']",Music... The Air That I Breathe,2020-10-30
Tears,['Bonnie Tyler'],Faster Than the Speed of Night,1983-04-11
Right Here Waiting,['Bonnie Tyler'],Heart Strings,2002-01-01
Total Eclipse Of The Heart (feat. Bonnie Tyler),"['Alex Christensen', 'The Berlin Orchestra', 'Bonnie Tyler']",Classical 80s Dance,2021-09-03
True Love,"['Frankie Miller', 'Bonnie Tyler']",Frankie Miller's Double Take,2016-08-26
Time Mends a Broken Heart,['Bonnie Tyler'],The East West Years 1995-1998,2021-12-10
Hold On,['Bonnie Tyler'],Between the Earth and the Stars,2019-03-22
Si Tout S'Arrête (It's A Heartache),"['Bonnie Tyler', 'Kareen Antonn']",Simply Believe,2004-04-13
Why,['Bonnie Tyler'],Bitterblue,1991
Send Me The Pillow,['Bonnie Tyler'],Silhouette In Red,1993-10-11
I'll Stand By You,['Bonnie Tyler'],Wings,2005
Believe in Me (Radio Edit),['Bonnie Tyler'],Rocks and Honey,2013
It's a Jungle Out There,['Bonnie Tyler'],Faster Than the Speed of Night,1983-04-11
When the Lights Go Down,['Bonnie Tyler'],The Best Is yet to Come,2021-02-26
Race to the Fire - Radio Mix,['Bonnie Tyler'],Angel Heart,1992-10-05
Paroles paroles,"['Dalida', 'Alain Delon']",Forever Dalida,2004-02-16
Beautiful (feat. Camila Cabello),"['Bazzi', 'Camila Cabello']",Beautiful (feat. Camila Cabello),2018-08-02
Primadonna,['MARINA'],Electra Heart (Deluxe),2012-04-30
How to Be a Heartbreaker,['MARINA'],How to Be a Heartbreaker,2012-09-26
Baby (feat. MARINA & Luis Fonsi),"['Clean Bandit', 'MARINA', 'Luis Fonsi']",Baby (feat. MARINA & Luis Fonsi),2018-11-02
Et si tu n'existais pas,['Joe Dassin'],Joe Dassin,1975-11-22
La bohème,['Charles Aznavour'],La Bohème (Remastered 2014),1966
Audio,"['Sia', 'Diplo', 'Labrinth', 'LSD']",Audio,2018-05-10
Señorita,"['Shawn Mendes', 'Camila Cabello']",Señorita,2019-06-21
How Do You Sleep?,['Sam Smith'],How Do You Sleep?,2019-07-19
Sleep Talking,['Charlotte Lawrence'],Sleep Talking,2017-10-20
Une belle histoire,['Michel Fugain & Le Big Bazar'],Fais Comme L'Oiseau,1972-07-20
Looking For Mercy,['Madonna'],Madame X (Deluxe),2019-06-14
Someone You Loved,['Lewis Capaldi'],Divinely Uninspired To A Hellish Extent,2019-05-17
hate u love u,"[""Olivia O'Brien""]",hate u love u,2016-12-09
Coming Back,['Noble'],Coming Back,2019-06-27
Candlelight - Edit,['Jack Savoretti'],Candlelight (Edit),2018-12-12
That's Life,['Frank Sinatra'],That's Life,1966-11
Boat Song,['JJ Heller'],When I'm With You,2010-10-19
"Nathy Peluso: Bzrp Music Sessions, Vol. 36","['Bizarrap', 'NATHY PELUSO']","Nathy Peluso: Bzrp Music Sessions, Vol. 36",2020-11-27
Secret Love Song (feat. Jason Derulo),"['Little Mix', 'Jason Derulo']",Between Us (Deluxe Version),2021-11-12
Cold,['James Blunt'],Levitating - After Work Frenzy,2021-11-12
La vie en rose,"['Andrea Bocelli', 'Édith Piaf']",Passione (Remastered),2013-01-01
Alors On Danse - Featuring Erik Hassle,"['Stromae', 'Erik Hassle']",Alors On Danse,2010-01-01
Le Temps Des Cathédrales (with Vincent Nicolo),"['Riccardo Cocciante', 'Il Divo', 'Vincent Nicolo', 'David Hernando']",A Musical Affair (French Version),2014-11-24
The Winner Takes It All,['Carla Bruni'],French Touch,2017-10-06
La bohème,['Charles Aznavour'],La Bohème (Remastered 2014),1966
Une belle histoire,['Michel Fugain & Le Big Bazar'],Fais Comme L'Oiseau,1972-07-20
Je me casse,['Destiny'],Je me casse,2021-03-30
10 Years,['Daði Freyr'],10 Years,2021-03-13
"Lo Que Esta de Moda, Vol. 1",['Dj Lil Yankee'],"Lo Que Esta de Moda, Vol. 1",2020-09-04
Tous les mêmes,['Stromae'],racine carrée,2013-01-01
Papaoutai,['Stromae'],racine carrée,2013-01-01
Je veux,['Zaz'],Zaz,2010-05-10
Fado Alado,['Ana Moura'],Best Of,2017-11-17
Esfrega Esfrega,"['Deejay Telio', 'Deedz B']",Esfrega Esfrega,2017-07-28
Hoje Eu Vou Parar Na Gaiola,"['Mc Livinho', 'Rennan da Penha']",Hoje Eu Vou Parar Na Gaiola,2018-10-17
Blank Page,['Christina Aguilera'],Lotus (Deluxe Version),2012-11-09
Noche Sin Día,"['Il Volo', 'Gente De Zona']",Noche Sin Día,2018-05-25
Anywhere,['Rita Ora'],Phoenix (Deluxe Edition),2018-11-23
Be the One,['Dua Lipa'],Be the One,2015-10-30
Rise,['Katy Perry'],Rise,2016-07-15
Beautiful (feat. Camila Cabello),"['Bazzi', 'Camila Cabello']",Beautiful (feat. Camila Cabello),2018-08-02
Mamma Mia,['Cher'],Dancing Queen,2018-09-28
SOS,['Cher'],SOS,2018-08-23
Baby (feat. MARINA & Luis Fonsi),"['Clean Bandit', 'MARINA', 'Luis Fonsi']",Baby (feat. MARINA & Luis Fonsi),2018-11-02
Primadonna,['MARINA'],Electra Heart (Deluxe),2012-04-30
In My Mind,"['Dynoro', ""Gigi D'Agostino""]",In My Mind,2018-06-08
Happier,"['Marshmello', 'Bastille']",Happier,2018-08-17
Audio,"['Sia', 'Diplo', 'Labrinth', 'LSD']",Audio,2018-05-10
Say My Name,"['David Guetta', 'Bebe Rexha', 'J Balvin']",7,2018-09-14
Happy Now,"['Kygo', 'Sandro Cavazza']",Happy Now,2018-10-26
breathin,['Ariana Grande'],Sweetener,2018-08-17
God is a woman,['Ariana Grande'],Sweetener,2018-08-17
Somebody,"['The Chainsmokers', 'Drew Love']",Sick Boy...Save Yourself,2018-08-24
Promises (with Sam Smith),"['Calvin Harris', 'Sam Smith', 'Jessie Reyez']",Promises (with Sam Smith),2018-08-17
Happy Now,"['Zedd', 'Elley Duhé']",Happy Now,2018-07-18
Jaloux,['Dadju'],Jaloux,2018-10-03
Não Quero Nem Saber,['Ana Moura'],Moura (Deluxe Version),2016-11-25
Clandestinos Do Amor - Canção Original Do Filme Os Gatos Não Têm Vertigens,['Ana Moura'],Clandestinos Do Amor (Canção Original Do Filme Os Gatos Não Têm Vertigens),2014-01-01
"Fado das Horas Incertas - Live from Coliseu dos Recreios, Portugal / 2008",['Ana Moura'],Coliseu,2008-01-01
Youngblood,['5 Seconds of Summer'],Youngblood (Deluxe),2018-06-15
Bad Liar,['Imagine Dragons'],Bad Liar,2018-11-06
7 rings,['Ariana Grande'],"thank u, next",2019-02-08
How Do You Sleep?,['Sam Smith'],How Do You Sleep?,2019-07-19
La bohème,['Charles Aznavour'],Greatest Golden Hits,1996
Looking For Mercy,['Madonna'],Madame X (Deluxe),2019-06-14
Crave (with Swae Lee),"['Madonna', 'Swae Lee']",Madame X (Deluxe),2019-06-14
Crazy,['Madonna'],Madame X (Deluxe),2019-06-14
Calma,['Pedro Capó'],Calma,2018-07-20
For You (Fifty Shades Freed),"['Liam Payne', 'Rita Ora']",Phoenix (Deluxe Edition),2018-11-23
Gimme! Gimme! Gimme! (A Man After Midnight),['ABBA'],Voulez-Vous,1979
The Winner Takes It All,['ABBA'],Super Trouper,1980
Thrill Seeker,['Aurea'],Thrill Seeker,2018-04-23
Total Eclipse of the Heart,['Bonnie Tyler'],The Very Best Of Bonnie Tyler,1999-02-08
Now That I Found You,['Michael Bolton'],Love Songs,1987
Lost on You,['LP'],Lost on You,2016-12-09
The Only Exception,['Paramore'],Brand New Eyes,2009-09-22
La Niña,['María Peláe'],La Niña,2019-09-27
La Niña,['María Peláe'],La Niña,2019-09-27
Bella Ciao,"['Hardwell', 'Maddix']",Bella Ciao,2018-08-17
Tusa,"['KAROL G', 'Nicki Minaj']",Tusa,2019-11-07
Tusa,"['KAROL G', 'Nicki Minaj']",FIESTA 2019 Y 2020,2019-12-20
Tusa,"['KAROL G', 'Nicki Minaj']",FIESTA 2019 Y 2020,2019-12-20
Dance Monkey,['Tones And I'],Dance Monkey,2019-05-10
Os Putos,['Carlos Do Carmo'],Fado Maestro,2008-01-01
How Do You Sleep?,['Sam Smith'],How Do You Sleep?,2019-07-19
Kings & Queens,['Ava Max'],Kings & Queens,2020-03-12
Dear Future Husband,['Meghan Trainor'],Title (Expanded Edition),2015-01-09
"Y, sin embargo",['Café Quijano'],Orígenes: El Bolero Volumen 2,2013-11-05
In Your Eyes (feat. Alida),"['Robin Schulz', 'Alida']",In Your Eyes (feat. Alida),2020-01-10
Harder (with Bebe Rexha),"['Jax Jones', 'Bebe Rexha']",Snacks,2019-07-12
Torn,['Ava Max'],Torn,2019-08-19
So Am I,['Ava Max'],So Am I,2019-03-07
Kings & Queens,['Ava Max'],Kings & Queens,2020-03-12
Sweet but Psycho,['Ava Max'],Sweet but Psycho,2018-08-17
Torn,['Ava Max'],Torn,2019-08-19
"My Life Is Going On (Cecilia Krull vs. Gavin Moss) [Música Original de la Serie de TV ""La Casa de Papel""]","['Cecilia Krull', 'Gavin Moss']","My Life Is Going On (Cecilia Krull vs. Gavin Moss) [Música Original de la Serie de TV ""La Casa de Papel""]",2018-05-11
